name,id,home,team,pos,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgm,kicking_fgyds,kicking_totpfg,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds,year
D.Brees,00-0020531,no,NO,QB,,,,,,2,5,9,5,0,,,,,,,,,,,,,,,615,419,20,29,0,0,4238,,,,,,,,,,,7,0,1,0,0,0,7,18,8,0,0,0,0,-3,2010
R.Bush,00-0024217,no,NO,RB,,,,,,1,2,2,2,0,,,,,,,,,,35,31,0,1,0,,,,,,,,,,,,,43,82,0,14,0,106,6,34,1,0,0,208,36,61,0,0,0,0,150,2010
P.Thomas,00-0024813,no,NO,,,,,,,,,,,,,,,,,,,,,43,61,0,7,0,,,,,,,,,,,,,,,,,,83,0,29,0,0,0,201,83,71,3,2,0,0,269,2010
L.Moore,00-0023310,no,NO,,,,,,,1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,95,112,0,11,0,326,191,63,8,0,0,720,,,,,,,,2010
D.Thomas,00-0024301,no,NO,,,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,14,28,2,0,0,193,,,,,,,,2010
D.Henderson,00-0022929,no,NO,,,,,,,,,,,,,,,,,,,,,23,27,0,6,0,,,,,,,,,,,,,,,,,,239,29,33,1,0,0,447,2,7,0,0,0,0,7,2010
J.Shockey,00-0021148,no,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,10,41,3,0,0,409,,,,,,,,2010
R.Meachem,00-0025414,no,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,129,41,3,0,0,588,3,6,0,0,0,0,6,2010
H.Evans,00-0020507,no,NO,,,,,,,,,,,,,,,,,,,,,21,22,0,4,0,,,,,,,,,,,,,,,,,,37,4,6,1,0,0,37,2,2,0,0,0,0,2,2010
M.Colston,00-0024466,no,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319,44,76,5,0,0,909,1,1,0,0,0,0,1,2010
G.Hartley,00-0025824,no,NO,,,,,,,,,,,,24,20,486,60,36,0,36,0,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
T.Morstead,00-0027114,no,NO,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581,19,810,56,2558,,,,,,,,,,,,,,,,,,,,2010
C.Roby,00-0023503,no,NO,,,,,,,1,0,1,2,0,,,,,,,,,,270,327,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
T.Porter,00-0026180,no,NO,CB,14,0,1,0,40,0,1,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,2,0,,,,,,,,,,,,,,,2010
J.Charleston,00-0023847,no,NO,,6,2,0,3,15,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
S.Ellis,00-0026147,no,NO,,14,2,0,6,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
M.Mitchell,00-0025607,no,NO,,6,2,0,1,23,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
R.Harper,00-0024258,no,NO,DB,19,5,1,3,68,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
M.Jenkins,00-0026990,no,NO,FS,11,1,2,1,52,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
