player,position,team,week,year,passing_td,passing_yd,perc_throws,rushing_td,rushing_yd,rec_td,rec_yd,receptions,fgmd,fgyd,perc_fg,tackles,sacks,ints
T.Brady,QB,STL,ALL,2010,36,3900,65.85365854,0,0,0,0,0,0,0,0,0,0,0
A.Foster,RB,HOU,ALL,2010,0,0,0,16,1614,0,0,0,0,0,0,0,0,0
A.Johnson,WR,HOU,ALL,2010,0,0,0,0,0,8,1216,86,0,0,0,0,0,0
J.Witten,TE,DAL,ALL,2010,0,0,0,0,0,9,1002,94,0,0,0,0,0,0
S.Janikowski,K,OAK,ALL,2010,0,0,0,0,0,0,0,0,33,622,80.48780488,0,0,0
S.Tulloch,LB,TEN,ALL,2010,0,0,0,0,0,0,0,0,0,0,0,111,1,1
D.Brees,QB,ARI,ALL,2011,46,5476,71.23287671,0,0,0,0,0,0,0,0,0,0,0
D.Sproles,RB,NO,ALL,2011,0,0,0,2,603,0,0,0,0,0,0,0,0,0
V.Cruz,WR,NYG,ALL,2011,0,0,0,0,0,9,1545,83,0,0,0,0,0,0
R.Gronkowski,TE,NE,ALL,2011,0,0,0,0,0,17,1327,90,0,0,0,0,0,0
M.Nugent,K,CIN,ALL,2011,0,0,0,0,0,0,0,0,33,619,89.18918919,0,0,0
D.Jackson,ILB,CLE,ALL,2011,0,0,0,0,0,0,0,0,0,0,0,115,3.5,1
D.Brees,QB,ARI,ALL,2012,43,5177,62.98507463,0,0,0,0,0,0,0,0,0,0,0
A.Peterson,RB,MIN,ALL,2012,0,0,0,12,2097,0,0,0,0,0,0,0,0,0
B.Marshall,WR,CHI,ALL,2012,0,0,0,0,0,11,1508,118,0,0,0,0,0,0
J.Graham,TE,NO,ALL,2012,0,0,0,0,0,9,982,85,0,0,0,0,0,0
B.Walsh,K,MIN,ALL,2012,0,0,0,0,0,0,0,0,35,643,94.59459459,0,0,0
L.Kuechly,MLB,CAR,ALL,2012,0,0,0,0,0,0,0,0,0,0,0,102,1,2
D.Brees,QB,KC,ALL,2013,39,5162,68.61538462,0,0,0,0,0,0,0,0,0,0,0
J.Charles,RB,KC,ALL,2013,0,0,0,12,1288,0,0,0,0,0,0,0,0,0
D.Thomas,WR,DEN,ALL,2013,0,0,0,0,0,14,1430,92,0,0,0,0,0,0
J.Graham,TE,NO,ALL,2013,0,0,0,0,0,16,1215,86,0,0,0,0,0,0
S.Gostkowski,K,NE,ALL,2013,0,0,0,0,0,0,0,0,38,687,92.68292683,0,0,0
N.Bowman,ILB,SF,ALL,2013,0,0,0,0,0,0,0,0,0,0,0,118,5,2
A.Rodgers,QB,STL,ALL,2014,38,4381,65.57692308,0,0,0,0,0,0,0,0,0,0,0
L.Bell,RB,PIT,ALL,2014,0,0,0,8,1361,0,0,0,0,0,0,0,0,0
A.Brown,WR,PIT,ALL,2014,0,0,0,0,0,13,1698,129,0,0,0,0,0,0
R.Gronkowski,TE,NE,ALL,2014,0,0,0,0,0,12,1124,82,0,0,0,0,0,0
D.Carpenter,K,BUF,ALL,2014,0,0,0,0,0,0,0,0,34,677,91.89189189,0,0,0
J.Watt,DE,HOU,ALL,2014,0,0,0,0,0,0,0,0,0,0,0,59,20.5,1
R.Wilson,QB,STL,ALL,2015,34,4022,68.11594203,0,0,0,0,0,0,0,0,0,0,0
D.Freeman,RB,ATL,ALL,2015,0,0,0,11,1061,0,0,0,0,0,0,0,0,0
A.Brown,WR,PIT,ALL,2015,0,0,0,0,0,10,1834,136,0,0,0,0,0,0
R.Gronkowski,TE,NE,ALL,2015,0,0,0,0,0,11,1176,72,0,0,0,0,0,0
S.Gostkowski,K,NE,ALL,2015,0,0,0,0,0,0,0,0,33,618,91.66666667,0,0,0
L.David,OLB,TB,ALL,2015,0,0,0,0,0,0,0,0,0,0,0,84,3,3
A.Rodgers,QB,SEA,ALL,2016,40,4428,65.73770492,0,0,0,0,0,0,0,0,0,0,0
D.Johnson,RB,ARI,ALL,2016,0,0,0,16,1239,0,0,0,0,0,0,0,0,0
A.Brown,WR,PIT,ALL,2016,0,0,0,0,0,12,1284,106,0,0,0,0,0,0
T.Kelce,TE,KC,ALL,2016,0,0,0,0,0,4,1125,85,0,0,0,0,0,0
J.Tucker,K,BAL,ALL,2016,0,0,0,0,0,0,0,0,38,745,100,0,0,0
B.Wagner,MLB,SEA,ALL,2016,0,0,0,0,0,0,0,0,0,0,0,87,4.5,1
