player,position,team,week,year,passing_td,passing_yd,perc_throws,rushing_td,rushing_yd,rec_td,rec_yd,receptions,fgmd,fgyd,perc_fg,tackles,sacks,ints
C.Palmer,QB,SD,1,2010,2,345,68,0,0,0,0,0,0,0,0,0,0,0
M.Forte,RB,CHI,1,2010,0,0,0,0,50,0,0,0,0,0,0,0,0,0
S.Smith,WR,CAR,1,2010,0,0,0,0,0,1,75,5,0,0,0,0,0,0
A.Gates,TE,SD,1,2010,0,0,0,0,0,1,76,5,0,0,0,0,0,0
M.Bryant,K,ATL,1,2010,0,0,0,0,0,0,0,0,3,49,75,0,0,0
D.Hall,SS,WAS,1,2010,0,0,0,0,0,0,0,0,0,0,0,7,0,0
M.Schaub,QB,NO,2,2010,3,497,73.07692308,0,0,0,0,0,0,0,0,0,0,0
F.Gore,RB,SF,2,2010,0,0,0,1,112,0,0,0,0,0,0,0,0,0
A.Johnson,WR,HOU,2,2010,0,0,0,0,0,1,158,12,0,0,0,0,0,0
A.Gates,TE,SD,2,2010,0,0,0,0,0,2,57,5,0,0,0,0,0,0
M.Nugent,K,CIN,2,2010,0,0,0,0,0,0,0,0,5,46,100,0,0,0
J.Harrison,OLB,PIT,2,2010,0,0,0,0,0,0,0,0,0,0,0,10,2,0
P.Rivers,QB,GB,3,2010,2,455,54.71698113,0,0,0,0,0,0,0,0,0,0,0
A.Peterson,RB,MIN,3,2010,0,0,0,2,160,0,0,0,0,0,0,0,0,0
A.Boldin,WR,BAL,3,2010,0,0,0,0,0,3,142,8,0,0,0,0,0,0
A.Gates,TE,SD,3,2010,0,0,0,0,0,1,109,7,0,0,0,0,0,0
Josh.Brown,K,STL,3,2010,0,0,0,0,0,0,0,0,3,37,100,0,0,0
C.Greenway,OLB,MIN,3,2010,0,0,0,0,0,0,0,0,0,0,0,9,0,0
Sh.Hill,QB,NE,4,2010,2,331,62.96296296,0,0,0,0,0,0,0,0,0,0,0
A.Foster,RB,HOU,4,2010,0,0,0,1,131,0,0,0,0,0,0,0,0,0
E.Royal,WR,DEN,4,2010,0,0,0,0,0,1,113,8,0,0,0,0,0,0
A.Gates,TE,SD,4,2010,0,0,0,0,0,2,144,7,0,0,0,0,0,0
M.Prater,K,DEN,4,2010,0,0,0,0,0,0,0,0,4,36,100,0,0,0
L.Timmons,ILB,PIT,4,2010,0,0,0,0,0,0,0,0,0,0,0,6,0,0
E.Manning,QB,MIN,5,2010,3,297,64.28571429,0,0,0,0,0,0,0,0,0,0,0
M.Forte,RB,CHI,5,2010,0,0,0,2,166,0,0,0,0,0,0,0,0,0
M.Crabtree,WR,SF,5,2010,0,0,0,0,0,1,105,9,0,0,0,0,0,0
M.Lewis,TE,JAC,5,2010,0,0,0,0,0,2,54,4,0,0,0,0,0,0
N.Folk,K,NYJ,5,2010,0,0,0,0,0,0,0,0,5,53,100,0,0,0
S.Tulloch,LB,TEN,5,2010,0,0,0,0,0,0,0,0,0,0,0,8,0,1
J.Flacco,QB,TEN,6,2010,2,285,77.14285714,0,0,0,0,0,0,0,0,0,0,0
C.Ivory,RB,NO,6,2010,0,0,0,0,158,0,0,0,0,0,0,0,0,0
J.Maclin,WR,PHI,6,2010,0,0,0,0,0,2,159,7,0,0,0,0,0,0
B.Watson,TE,CLE,6,2010,0,0,0,0,0,1,88,6,0,0,0,0,0,0
D.Carpenter,K,MIA,6,2010,0,0,0,0,0,0,0,0,3,53,100,0,0,0
T.Williams,CB,GB,6,2010,0,0,0,0,0,0,0,0,0,0,0,6,0,1
R.Fitzpatrick,QB,NYG,7,2010,4,374,67.44186047,0,0,0,0,0,0,0,0,0,0,0
F.Gore,RB,SF,7,2010,0,0,0,0,102,0,0,0,0,0,0,0,0,0
K.Britt,WR,TEN,7,2010,0,0,0,0,0,3,225,7,0,0,0,0,0,0
J.Witten,TE,DAL,7,2010,0,0,0,0,0,1,95,9,0,0,0,0,0,0
D.Carpenter,K,MIA,7,2010,0,0,0,0,0,0,0,0,5,40,100,0,0,0
D.Hall,SS,WAS,7,2010,0,0,0,0,0,0,0,0,0,0,0,7,0,4
M.Stafford,QB,HOU,8,2010,4,212,57.77777778,0,0,0,0,0,0,0,0,0,0,0
A.Foster,RB,HOU,8,2010,0,0,0,1,102,0,0,0,0,0,0,0,0,0
L.Fitzgerald,WR,ARI,8,2010,0,0,0,0,0,2,72,6,0,0,0,0,0,0
J.Witten,TE,DAL,8,2010,0,0,0,0,0,1,97,10,0,0,0,0,0,0
D.Carpenter,K,MIA,8,2010,0,0,0,0,0,0,0,0,5,54,100,0,0,0
T.Williams,CB,GB,8,2010,0,0,0,0,0,0,0,0,0,0,0,4,0,1
